ID;Trans;Factors;FRED Mnemonic;Description;type;S;M;L;XL;XS
1;5;0;GDPC1;Real Gross Domestic Product;slow;x;x;x;x;
2;5;0;PCECC96;Real Personal Consumption Expenditures;slow;;x;x;x;
3;5;1;PCDGx;Real personal consumption expenditures:  Durable goods ;slow;;;;x;
4;5;1;PCESVx;Real Personal Consumption Expenditures:  Services ;slow;;;x;x;
5;5;1;PCNDx;Real Personal Consumption Expenditures:  Nondurable Goods ;slow;;;x;x;
6;5;0;GPDIC1;Real Gross Private Domestic Investment;slow;;;x;x;
7;5;0;FPIx;Real private fixed investment ;slow;;x;x;x;
8;5;1;Y033RC1Q027SBEAx;Real Gross Private Domestic Investment:  Fixed Investment:  Nonresidential Equipment;slow;;;x;x;
9;5;1;PNFIx;Real private fixed investment:  Nonresidential ;slow;;;x;x;
10;5;1;PRFIx;Real private fixed investment:  Residential ;slow;;;x;x;
11;1;1;A014RE1Q156NBEA;"Shares of gross domestic product:  Gross private domestic investment: Change
in private inventories";slow;;;x;x;
12;5;0;GCEC1;Real Government Consumption Expenditures and Gross Investment;slow;;x;x;x;
13;1;1;A823RL1Q225SBEA;Real Government Consumption Expenditures and Gross Investment:  Federal;slow;;;;x;
14;5;1;FGRECPTx;Real Federal Government Current Receipts ;slow;;;;x;
15;5;1;SLCEx;Real government state and local consumption expenditures ;slow;;;;x;
16;5;1;EXPGSC1;Real Exports of Goods and Services;slow;;;x;x;
17;5;1;IMPGSC1;Real Imports of Goods and Services;slow;;;x;x;
18;5;0;DPIC96;Real Disposable Personal Income;slow;;;x;x;
19;5;0;OUTNFB;Nonfarm Business Sector:  Real Output;slow;;;;x;
20;5;0;OUTBS;Business Sector:  Real Output;slow;;;;x;
21;5;0;OUTMS;Manufacturing Sector:  Real Output;slow;;;;;
190;2;0;B020RE1Q156NBEA;Shares of gross domestic product:  Exports of goods and services (Percent);slow;;;;;
191;2;0;B021RE1Q156NBEA;Shares of gross domestic product:  Imports of goods and services (Percent);slow;;;;;
22;5;0;INDPRO;IP:Total index Industrial Production Index (Index 2012=100);slow;;x;x;x;
23;5;0;IPFINAL;IP:Final products Industrial Production: Final Products (Market Group) (Index 2012=100);slow;;;x;x;
24;5;0;IPCONGD;IP:Consumer goods Industrial Production: Consumer Goods (Index 2012=100);slow;;;x;x;
25;5;0;IPMAT;Materials (Index 2012=100);slow;;;;x;
26;5;1;IPDMAT;Durable Materials (Index 2012=100);slow;;;;x;
27;5;1;IPNMAT;Nondurable Materials (Index 2012=100);slow;;;;x;
28;5;1;IPDCONGD;Durable Consumer Goods (Index 2012=100);slow;;;;x;
29;5;1;IPB51110SQ;Durable Goods:  Automotive products (Index 2012=100);slow;;;;x;
30;5;1;IPNCONGD;Nondurable Consumer Goods (Index 2012=100);slow;;;;x;
31;5;1;IPBUSEQ;Business Equipment (Index 2012=100);slow;;;;x;
32;5;1;IPB51220SQ;Consumer energy products (Index 2012=100);slow;;;;x;
33;1;1;TCU;Capacity Utilization:  Total Industry (Percent of Capacity);slow;;;;;
34;1;1;CUMFNS;Capacity Utilization:  Manufacturing (SIC) (Percent of Capacity);slow;;x;;x;
194;5;0;IPMANSICS;Industrial Production:  Manufacturing (SIC) (Index 2012=100);slow;;;;x;
195;5;0;IPB51222S;Industrial Production:  Residential Utilities (Index 2012=100);slow;;;;x;
196;5;0;IPFUELS;Industrial Production:  Fuels (Index 2012=100);slow;;;;x;
35;5;0;PAYEMS; Emp:Nonfarm All Employees: Total nonfarm (Thousands of Persons);slow;;x;x;x;
36;5;0;USPRIV; All Employees: Total Private Industries (Thousands of Persons);slow;;;;x;
37;5;0;MANEMP; All Employees: Manufacturing (Thousands of Persons);slow;;;;x;
38;5;0;SRVPRD;All Employees:  Service-Providing Industries (Thousands of Persons);slow;;;;x;
39;5;0;USGOOD;All Employees:  Goods-Producing Industries (Thousands of Persons);slow;;;;x;
40;5;1;DMANEMP;All Employees:  Durable goods (Thousands of Persons);slow;;;;x;
41;5;0;NDMANEMP;All Employees:  Nondurable goods (Thousands of Persons);slow;;;;x;
42;5;1;USCONS;All Employees:  Construction (Thousands of Persons);slow;;;;x;
43;5;1;USEHS;All Employees:  Education & Health Services (Thousands of Persons);slow;;;;x;
44;5;1;USFIRE;All Employees:  Financial Activities (Thousands of Persons);slow;;;;x;
45;5;1;USINFO;All Employees:  Information Services (Thousands of Persons);slow;;;;x;
46;5;1;USPBS;All Employees:  Professional & Business Services (Thousands of Persons);slow;;;;x;
47;5;1;USLAH;All Employees:  Leisure & Hospitality (Thousands of Persons);slow;;;;x;
48;5;1;USSERV;All Employees:  Other Services (Thousands of Persons);slow;;;;x;
49;5;1;USMINE;All Employees:  Mining and logging (Thousands of Persons);slow;;;;x;
50;5;1;USTPU;All Employees:  Trade, Transportation & Utilities (Thousands of Persons);slow;;;;x;
